Respondent ID,,Please check the Department or Team you primarily work with.,,How long have you been with Rocscience?,I make our customers’ needs and experiences a top priority in my work.,I regularly see colleagues responding promptly to customers to make them feel valued.,My manager encourages us to see things from the customer’s point of view when making decisions.,Our team regularly asks customers for feedback and uses it to improve what we do.,"I look for new and better ways to improve our products, services, and/or processes.",I regularly see colleagues asking bold questions and openly sharing new ideas.,"My manager encourages us to try new approaches, even if it means taking some risks.",Our team is always looking for ways to improve and do things better.,I set high standards for my work and aim to deliver great results.,I regularly see colleagues taking pride in their work and striving to do their best.,My manager expects us to fix mistakes quickly and treat them as learning opportunities.,Our team is always looking for ways to improve and do things better.,I own my decisions and actions and openly share how things turn out.,I regularly see colleagues stepping up to their responsibilities and owning the results – good or bad.,My manager leads by example when it comes to accountability and transparency.,Our team talks openly about mistakes and views them as opportunities to improve.,I encourage others to succeed by offering help when they need it.,I regularly see colleagues checking in with each other and lending a hand when needed.,My manager listens carefully and supports team members when challenges arise.,Our team celebrates each other’s successes and encourages personal and professional growth.,I feel confident that our company’s values are positively impacting our workplace culture.,I have a good grasp of how to apply our values in my daily tasks.,I believe the company’s values are reflected in everyday decisions and actions across the company.,I feel emotionally connected to our company’s mission.,My work gives me a sense of personal accomplishment.,I would recommend this company as a great place to work.,I have noticed positive changes in our company culture since these values were introduced.,Leadership encourages behaviours that align with our core values.,I feel confident that leadership has a clear plan for managing the company’s growth and acquisitions.,Recent changes make me feel anxious about my role in the company.,Leadership communicates clearly about where the company is headed and what’s changing.,The rate of change in Rocscience causes me to feel stressed and overwhelmed.,The acquisition of new companies has created confusion about how we work together as one organization.,I believe the company’s growth will create positive opportunities to advance my career.,I feel confident that my job is secure as the company continues to expand.,I feel that managers genuinely care about how employees are coping with growth and change.,I can count on my teammates for help and support especially when growth and change feel overwhelming .,The company’s growth makes me proud of what we’re achieving.,"I feel we still put customers first, even as we add new teams and face lots of new demands.","Even with so much change, my colleagues continue to strive for excellence in how they approach their jobs.",Growth and change do not affect my ability to fully support the company's values.,"What barriers prevent you or your colleagues from consistently applying our core values in daily work? If there are no barriers, please answer ""None.""","Describe one specific change you’ve observed in our company's culture since these values were introduced. If you've not observed any change, please answer ""None.""","What challenges or concerns have you personally experienced as the company continues to grow and integrate new acquisitions? If you haven't experienced any challenges or concerns, please answer ""None.""","If there is anything else you would like to say about our core values and associated behaviours, please use this space."
,,Response,Other (please specify),Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response
1.14987E+11,,Sales & Marketing,,4-10 years,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Don't Know,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,None,None,None,"One suggestion I would like to share relates to the “Supportive” core value and how we continue supporting employees as the company grows. Increasing vacation days- especially for long-tenured employees- would help reinforce a positive, healthy work environment and demonstrate appreciation for ongoing commitment. After six years with Rocscience, I would truly value additional vacation time as part of feeling supported and recognized as the company continues to expand."
1.14986E+11,,Research & Development,,3 years or less,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,None,None,"No good onboarding processes for new team members, also no time to onboard",
1.14986E+11,,Research & Development,,3 years or less,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Don't Know,Don't Know,Don't Know,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Don't Know,Don't Know,Don't Know,Agree,Don't Know,Agree,Agree,Agree,Agree,Don't Know,None,None,None,None
1.14986E+11,,Research & Development,,3 years or less,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Hurdles in the process, certain guardrails however useful should be sometimes checked and challenged ","Growth, openness, interest in taking chances ","Clarity on expectations, the ways in which change is to be embraced",
1.14986E+11,,Sales & Marketing,,3 years or less,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,none,none,none,
1.14985E+11,,Research & Development,,3 years or less,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Don't Know,Agree,Agree,Disagree,Don't Know,Don't Know,Disagree,Disagree,Disagree,Don't Know,Disagree,Don't Know,Agree,Agree,Agree,Agree,Agree,Don't Know,Time/Resources,None,None,Some weekly or monthly reminders of our core values and mission may be helpful
1.14985E+11,,Senior Management (‘C’ Suite & Directors),,4-10 years,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Don't Know,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Maybe to be more supportive than blame or discouraging ,"I think having it written down does help people to think twice, but the company culture has already been geared toward those values from the past","None, it’s been pretty smooth ","I feel very supported . Great company to work for , with great opportunity to grow. "
1.14978E+11,,Sales & Marketing,,4-10 years,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Don't Know,Don't Know,Disagree,Disagree,Don't Know,Disagree,Strongly Agree,Agree,"The new sales team (predominately male, new hires) is based on a commission structure. Therefore, there is no incentive for the team to help each other out other than as a kind gesture. However, since there is no existing relationship, there is no good relationship to maintain. We are experiencing our largest quarter ever, and there has been difficulty coping with increased inquiries, training new hires, increased pressure to track down overdue payments, increased demand for record keeping in salesforce (I agree that this is important but it has not be executed in a way that is time effective for sales-people), and process orders.    Middle management has always been supportive, but it seems the expectations from senior management continue to grow with no plan to monitor workload from administrative tasks while trying to achieve target.    It would be beneficial if the admin work (processing orders, and tracking down payments for closed opportunities, etc.) was removed so we can focus on revenue.","I feel that the recent changes across the company may have made it harder for the rollout of our core values to really stand out. It also seems like many people have had a heavier workload over the past few months and are, understandably, focused on keeping things moving.",No challenges with new acquisitions since I am not on the software side.,"I’ve been asking for help over the past six months on whether there might be any opportunities for my husband at Rocscience. I understand these things can take time, but I’m feeling discouraged that I haven’t received any updates, especially given the recent increase in new hires, including some referred candidates.    If it’s not possible at this time, I completely understand - I just value clear communication. Going so long without any response has been difficult, and I wanted to share how this has affected me."
1.14985E+11,,Research & Development,,3 years or less,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Don't Know,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I think mostly None. Time constraints at times could make applying our core values sometimes difficult,None,None,
